artist,name,quote_ap,quote_error_ap,quote_model_ap,quote_billboard,quote_error_billboard,quote_model_billboard,quote_buzzfeed,quote_error_buzzfeed,quote_model_buzzfeed,quote_error_nyt_caramanica,quote_model_nyt_caramanica,quote_nyt_caramanica,quote_complex,quote_error_complex,quote_model_complex,quote_consequence,quote_error_consequence,quote_model_consequence,quote_crack,quote_error_crack,quote_model_crack,quote_dazed,quote_error_dazed,quote_model_dazed,quote_elle,quote_error_elle,quote_model_elle,quote_ew,quote_error_ew,quote_model_ew,quote_fader,quote_error_fader,quote_model_fader,quote_guardian,quote_error_guardian,quote_model_guardian,quote_indep,quote_error_indep,quote_model_indep,quote_latimes,quote_error_latimes,quote_model_latimes,quote_nme,quote_error_nme,quote_model_nme,quote_npr125,quote_error_npr125,quote_model_npr125,quote_npr25,quote_error_npr25,quote_model_npr25,quote_paste,quote_error_paste,quote_model_paste,quote_pitchfork,quote_error_pitchfork,quote_model_pitchfork,quote_quietus,quote_error_quietus,quote_model_quietus,quote_rs,quote_error_rs,quote_model_rs,quote_slant,quote_error_slant,quote_model_slant,quote_stereogum,quote_error_stereogum,quote_model_stereogum,quote_error_rough_trade,quote_model_rough_trade,quote_rough_trade,quote_usatoday,quote_error_usatoday,quote_model_usatoday,quote_variety,quote_error_variety,quote_model_variety,quote_vulture,quote_error_vulture,quote_model_vulture,quote_error_nyt_zoladz,quote_model_nyt_zoladz,quote_nyt_zoladz
Lady Gaga,Vanish Into You,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a daring pop song because it doesn't flutter once,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,has the emotional propulsion of a great ballad and the cathartic singalong potential of a great dancefloor anthem,,claude-haiku-4-5-20251001,,,,,,
Lady Gaga & Gesaffelstein,Killah (feat. Gesaffelstein),,,,sounds like Gaga and Gesaffelstein getting away with murder in the studio and making one of the most wonderfully weird tracks of her career,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady Wray,My Best Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Her aching vocals over tinkering piano keys recall the rawness of Aretha Franklin's earlier work as she celebrates the joy of romance in the face of the inevitable hardship it brings,,claude-haiku-4-5-20251001,,,,,,
Lamb of God,Sepsis,,,,,,,,,,,,,,,,"the band at its sludgiest, paced by slow, curdled riffs",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambrini Girls,Cuntology 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"the list of what constitutes cunty — standing up for yourself, respecting others, learning how to say no — has an explicitly Gen Z feel",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,
Lana Del Rey,"Henry, come on",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lana often makes tragedy sound like romance ... amid chamber pop musings, the mystifying trance of a pastoral fantasy slowly comes undone",,claude-haiku-4-5-20251001,,,,,,,,,,"a sweeping, heart-rending piece of pop music",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,
"Larry June, 2 Chainz, & The Alchemist",Bad Choices,,,,,,,,,,,,,the pinnacle of yacht rap,,claude-sonnet-4-5-20250929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latto,Somebody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Riding waves of windblown '90s synth lines, Latto plays her dream-girl role so cool she earns the sly Aaliyah interpolations on the hook.",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,
Laufey,Lover Girl,,,,"lilting, bossa nova-inspired track",,claude-sonnet-4-5-20250929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laufey,Snow White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[The] delicately plucked guitar and cinematic strings provide a pillow-y landing spot for Laufey's emotions,,claude-sonnet-4-5-20250929,,,,,,,,,
Laufey,Tough Luck,,,,,,,,,,,,,,,,,,,,,,,,,"stepping out of her comfort zone while staying true to her signature, romantic sound",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lauren Henderson, Sullivan Fortner, Joel Ross, Dezron Douglas, & Joe Dyson",Bold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conveying sensuality and directness without guile or affectation,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ledisi,BLKWMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A powerful anthem honoring the strength, resilience and emotional depth of Black women",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leon Thomas,Just How You Are,,,,doubles down on the bass-driven funk ... Driven by such a charismatic vocal performance,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Without Buildings,Love Trinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,it builds into the kind of epic climax they'd rarely attempt,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lifeguard,It Will Get Worse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The song sounds like the Cleaners From Venus covering Pavement, as metallic, thrashing guitars vibrate through lo-fi, distorted hooks",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lil Tecca,Dark Thoughts,,,,,,,,,,,,,turning heavy subject matter into an undeniable earworm,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"With its glistening production and buoyant melody, it's a showcase for one of hip-hop's brightest new talents",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,
Lily Allen,Pussy Palace,,,,"Its plodding tempo gives it a surreal, slow-motion quality ... Allen juxtaposes these seedy details with a resplendent, synth-forward production, which in tandem expand the sense of total disorientation",,claude-haiku-4-5-20251001,,,,,,,,,,"an odd, explicit, revealing earworm",,claude-haiku-4-5-20251001,,,,,,,,,,"Allen's diaristic, head-turning storytelling is sharp, funny, and affecting",,claude-haiku-4-5-20251001,,,,Utterly grim but spellbindingly beautiful ... Pussy Palace may be the apex of Allen's trademark for mingling sweet and tongue-curlingly sour,,claude-haiku-4-5-20251001,the staggeringly specific details ... and catchy earworm of a chorus that made this the immediate centrepiece of the record,,claude-haiku-4-5-20251001,,,,proving what happens when you cross a famously outspoken woman,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,claude-haiku-4-5-20251001,turning heartbreak into pop gold,,,,bracing pop gem as its uneasy centerpiece,,claude-haiku-4-5-20251001,,,,,,
Lily Allen,Ruminating,,,,,,,,,,,,,,,,,,,,,,,,,"an earworm that perfectly captures that wide-awake, obsessing-over-every-detail feeling",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lily Allen,Tennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,claude-haiku-4-5-20251001,alive with paranoid detail ... and smiling-through-the-tears pathos
Lily Seabird,Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,claude-haiku-4-5-20251001,"snarling with innocence, threatening to collapse at any moment",,,,,,,,,,,,
Lily Seabird,It was like you were coming to wake us back up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,you can already tell that it is going to crack you open from the inside,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lip Critic,Second Life,,,,,,,,,,,,,,,,"just as wild, filthy, unpredictable, and exhilarating as anything from Lip Critic's awesome Hex Dealer",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquid Mike,Groucho Marx,,,,,,,,,,,,,,,,another power-pop banger from Liquid Mike,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Simz,Free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a reminder of one's true essence, often masked by societal pressures and personal fears",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Simz,Thief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Driven by a propulsive rhythm that bores deep into your brain ... she takes ruthless aim at a ""person I've known my whole life coming like the devil in disguise.""",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,"Failed: a sleek, swaggering reminder of Simz' unmatched musical instinct",claude-sonnet-4-5-20250929,,,,,,,,,,,,,
"Little Simz, Obongjayar, & Moonchild Sanelly",Flood,,,,,,,,,,,,,,,,"The UK rapper addresses betrayal with a haunting cadence and thunderous drums, taking no prisoners as she offers up hard-earned clarity and advice.",,claude-haiku-4-5-20251001,,,,,,,"a master class in storytelling, showing a profound confidence from the rapper",,claude-haiku-4-5-20251001,,,,,,,"she lays out her six-point plan for greatness with koans of wisdom such as: ""Never eat with the hyenas / 'Cause they will look at you as bones.""",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loe Shimmy & YTB Fatt,Two Faced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rambles deliriously ... careening from bulletproof Bentleys to mafia vignettes ... the song transforms from moody slow jam into something brawnier,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lola Young,Messy,,,,"a sort of thesis statement for her and who she is: flawed, lovable, all over the place, trying her best, and, yes, messy",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lola Young,SPIDERS,,,,the standout track from her I'm Only F—king Myself Album – shows that the South Londoner might be a stealth rock star,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"her raw, dark performance on the brokenhearted ""Spiders"" is one of the most memorable of the year",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,claude-haiku-4-5-20251001,explosive vocal performance from the pop powerhouse Lola Young elevates this sludgy rocker
Lord Sko & Curren$y,Understand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outrageously chill pilot talk ... over languid, jazzy keys",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,
"Lord Spikeheart, Iggor Cavalera, & Jonas Karsten",REIGN,,,,,,,,,,,,,,,,"a chaotic, boundary-pushing track",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorde,Current Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flip a bawdy Dexta Daps sample into a melancholic meditation on the grotesque vulnerability of the body,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,
Lorde,David,,,,taking a block of raw material and carving away everything that isn't the masterpiece awaiting discovery underneath,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a gutting thesis for an album consumed with agency,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorde,Favourite Daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"When Lorde surrenders to pop orthodoxy, no one can touch her",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorde,Hammer,,,,,,,,,,,,,,,,Lorde achieves the transcendence she so desperately seeks,,claude-sonnet-4-5-20250929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorde,Man Of The Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rediscovers a euphoric version of herself free from gender roles,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,a slow build with something seething under the surface,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,
Lorde,Shapeshifter,,,,,,,,,,,,,,,,,,,,,,collapses the highs Lorde chases ... into a single longing: a will to give up all control,,claude-sonnet-4-5-20250929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorde,What Was That,,,,jolting pop listeners awake with bleary images of late city nights and perfect cigarettes,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,'What Was That' is electric and poetic ... capturing the next stage of her evolution,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,one of the most defining music moments of the year,,claude-haiku-4-5-20251001,,,,,,
Los Thuthanaka,Awila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Awila"" builds and confounds ... chaotic, gut-spilling percussion and riffs try to detonate through the swelling",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucius,Gold Rush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"With a funk-fueled, thumping bassline and fearless two-part harmonies, they dish on the sugar high and inevitable crash of love and obsessions",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failed: hearing the blood-level harmony they continually pull off is as sweet a treat as any you can regularly count on in modern music,claude-sonnet-4-5-20250929,,,,,,
Lucrecia Dalt & David Sylvian,cosa rara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dalt's beguiling vocals and finely programmed textures based on Colombian rhythms, joined by co-producer Sylvian's targeted, spoken-word vocals, add to the foreboding mystery and drama",,claude-haiku-4-5-20251001,,,,,,,"Half love song, half noir, baked by the desert sun, ""cosa rara"" is a delirious collision of lust and violence",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucy Dacus,Ankles,,,,,,,,,,,,,,,,couldn't be more clear about what the singer/songwriter is looking for from her partner,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a portrait of intimacy ... floats on a bed of gorgeous, haunting strings",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucy Dacus,Best Guess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It might be the best and/or innately truest love song of 2025,,claude-haiku-4-5-20251001,,,,,,
"Ludwig Göransson, Sinners Movie, & Miles Caton",Magic What We Do (Surreal Montage) (feat. Miles Caton),,,,,,,,,,,,,,,,"drawing together past, present, and future for a song that truly transcends",,claude-sonnet-4-5-20250929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARINA,CUNTISSIMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combines deliciously pulsating electronic rhythms with hilarious and risque lyrics that contrast startlingly with her intentionally mannered singing style,,claude-haiku-4-5-20251001,,,,,,
MARINA,EVERYBODY KNOWS I’M SAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"she opens up about loneliness and anxiety through a candid, lyrical inner monologue ... when paired with the bouncy Eurodance house beat, they feel like a badge of honor she wears bravely and proudly",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,
MAVI & Earl Sweatshirt,Landgrab (feat. Earl Sweatshirt),,,,,,,,,,,,,,,,ends up saying more in 90 seconds than most other MCs say across entire albums,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the unbothered finesse of the two emcees ... [on] a pure heater,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIKE,Artist of the Century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"centered around a brilliant flute melody, is some of the most potent rap music I've heard this year",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIKE,man in the mirror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coasts on gorgeous sampled keyboards and drums as he apologizes for fighting and tries to keep his mental health in check,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIKE & Tony Seltzer,Prezzy,,,,,,,,,,,,,,,,"edging out of his long-held haze of grief while experimenting with ... unpredictable, tempo-shifting production",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOLIY, Silent Addy, Skillibeng, & Shenseea",Shake It To The Max (FLY) - Remix,,,,an absolute banger that should've been nominated for a Grammy,,claude-haiku-4-5-20251001,,,,,claude-haiku-4-5-20251001,"A global dancehall anthem that bridged Africa, the Caribbean and the United States","one of the funnest, sweatiest dancefloor anthems of the year",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a party honeypot, but what makes it so unforgettable is the way MOLIY sends the request up from the floor knowing she's not about to take any bullshit",,claude-haiku-4-5-20251001,,,,melds classic dancehall vibes with modern instrumentation,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,
MSPAINT,Angel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a synth-punk headbanger that manipulates little kernels of wisdom ... into deeply resonant mantras,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,
Macario Martínez,"sueña lindo, corazón",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sweet and assuming serenade positioned him as a promising new voice in the Mexican folk-music scene,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,
Machel Montano,PARDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the sort of energy boost that typically requires skirting the law,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison Cunningham,Skeletree,,,,,,,,,,,,,,,,"spins a gorgeous web on ""Skeletree.""",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison McFerrin,Ain't It Nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The sensual house beat, paired with her unmistakable vocals, layered harmonies and seductive lyrics get your body moving",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magdalena Bay,Second Sleep,,,,,,,,,,,,,,,,,,,"a vertiginous five-minute rollercoaster, weird and dizzying by design but thrilling in every way that matters",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maisie Peters,Audrey Hepburn,,,,,,,,,,,,,,,,,,,,,,,,,"'Love was a myth, now it's my morning coffee,' she sings",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margo Price,Don’t Let The Bastards Get You Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a battle cry for the downtrodden — a reminder to keep going, even when the world tries to grind you down",,claude-haiku-4-5-20251001,,,,,,,,,,,,,"Price transforms the saying into a righteous, funny rallying cry, decrying ""dudes looking down their noses/Thinkin' bullshit smells like roses.""",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,
Margot Texas,Dear Icarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,claude-haiku-4-5-20251001,poetic vocals and masterful world-building ... transporting you to a space of comfort and longing,,,,,,,,,,,,
Maria Somerville,Garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feels like it's being transmitted from another plane of existence ... a wondrous dispatch from another universe,,claude-haiku-4-5-20251001,the emotional narrative of a song unfolds just outside of conscious awareness ... sense of mystery and subconscious weight,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariah the Scientist,Burning Blue,,,,flipped a Jetski Purp beat she found on YouTube into one of the catchiest R&B ballads of the year,,claude-haiku-4-5-20251001,,,,,,,what makes this track resonate is how approachable and repeatable the singing feels,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[Her] lithe, yet resolute voice slices through the scraped-metal electronics and blown-out drums ... putting a beating heart at the center of its industrial chill",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,
Marianne Faithfull,Burning Moonlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vulnerable confessions ... sung over moody guitar that's equal parts Leonard Cohen and Angelo Badalamenti,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,
Marie Davidson,Demolition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sexy as hell, and in a world of voluntary surveillance by way of our myriad electronic devices, all too real",,claude-sonnet-4-5-20250929,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Ernestus’ Ndagga Rhythm Force,Lamp Fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"stripping the genre's polyrhythmic percussion down to elemental whispers ... every pulse emanating some hypnotic, arcane energy",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Pritchard & Thom Yorke,Back in the Game,,,,,,,,,,,,,,,,"a sneering, brooding vocal tone that matches the sinister energy of the beat",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maruja,Look Down On Us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"veer from filthy, noise-decayed bass and hardcore circle-pitting to exalted cosmic jazz",,claude-haiku-4-5-20251001,,,,,,,,,,"a near-10-minute rapture of jazz, post-hardcore, rap, and spoken-word poetry",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maruja,Saoirse,,,,,,,,,,,,,,,,"""Saoirse"" [is] the prettiest song ... of the year",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massa Nera,The Best Is Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,claude-haiku-4-5-20251001,throw the perfect heavvvvy post hardcore/emo curveball and let you catch your breath,,,,,,,,,,,,
Matt Berninger,Bonnet Of Pins,,,,,,,,,,,,,,,,disorienting intimacy that is begging for the full band treatment,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mavis Staples,Sad and Beautiful World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"her voice transforms the original's existential ennui into awed resilience, confronting the contradictions of modern living with a glint of hope",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,
McKinley Dixon,"Run, Run, Run Pt. II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a medley of piano, horn, and ride cymbal splatters ... full of Erykah Badu references and thug love",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McKinley Dixon, Quelle Chris, & Anjimile",Sugar Water (feat. Quelle Chris and Anjimile),,,,,,,,,,,,,,,,Optimism quickly turns to darkness over a gospel-influenced beat,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mclusky,people person,,,,,,,,,,,,,,,,"a riff-hitting jam, with droning, sludged-out guitars barreling forward",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megan Moroney,6 Months Later,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,take the seemingly exhausted subject of breakups and wring new life and wit out of it,,claude-haiku-4-5-20251001,,,,,,
Men I Trust,Carried Away,,,,,,,,,,,,,,,,a groove so enchanting you can't help but get lost in it,,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mereba,Phone Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a chorus so strong, so infectious, so memorable",,claude-haiku-4-5-20251001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mess Esque,Crow's Ash Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,claude-haiku-4-5-20251001,delicate sound flourishes in the space between sweet melancholy and quiet devastation,,,,,,,,,,,,
